technology,parameter,value,unit,source,further description
electric steam cracker,VOM,180.0,€/t_HVC,Linear interpolation between 2030 and 2040,
electric steam cracker,carbondioxide-output,0.55,t_CO2/t_HVC,Linear interpolation between 2030 and 2040,
electric steam cracker,electricity-input,2.7,MWh_el/t_HVC,Linear interpolation between 2030 and 2040,
electric steam cracker,investment,10512000.0,EUR/(t_HVC/h),Linear interpolation between 2030 and 2040,
electric steam cracker,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
electric steam cracker,naphtha-input,14.8,MWh_naphtha/t_HVC,Linear interpolation between 2030 and 2040,
electricity distribution grid,FOM,0.0,%/year,Linear interpolation between 2030 and 2040,
electricity distribution grid,investment,2000000.0,EUR/MW,Linear interpolation between 2030 and 2040,
electricity distribution grid,lifetime,50.0,years,Linear interpolation between 2030 and 2040,
electricity grid connection,FOM,2.0,%/year,Linear interpolation between 2030 and 2040,
electricity grid connection,investment,140000.0,EUR/MW,Linear interpolation between 2030 and 2040,
electricity grid connection,lifetime,40.0,years,Linear interpolation between 2030 and 2040,
electrobiofuels,C in fuel,0.92805,per unit,Linear interpolation between 2030 and 2040,
electrobiofuels,FOM,2.744243229574649,%/year,Linear interpolation between 2030 and 2040,
electrobiofuels,VOM,3.46425,EUR/MWh_th,Linear interpolation between 2030 and 2040,
electrobiofuels,capture rate,0.9,per unit,Linear interpolation between 2030 and 2040,
electrobiofuels,efficiency-biomass,1.32335,per unit,Linear interpolation between 2030 and 2040,
electrobiofuels,efficiency-hydrogen,1.2342499999999998,per unit,Linear interpolation between 2030 and 2040,
electrobiofuels,efficiency-tot,0.63855,per unit,Linear interpolation between 2030 and 2040,
electrobiofuels,investment,397013.41395,EUR/kW_th,Linear interpolation between 2030 and 2040,
electrolysis,FOM,0.9800490027756388,%/year,Linear interpolation between 2030 and 2040,
electrolysis,efficiency,0.6975,per unit,Linear interpolation between 2030 and 2040,
electrolysis,efficiency-heat,0.1455,per unit,Linear interpolation between 2030 and 2040,
electrolysis,investment,1428500.0,EUR/MW_e,Linear interpolation between 2030 and 2040,
electrolysis,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
fuel cell,FOM,1.5000000000000002,%/year,Linear interpolation between 2030 and 2040,
fuel cell,c_b,1.25,50oC/100oC,Linear interpolation between 2030 and 2040,
fuel cell,efficiency,0.5,per unit,Linear interpolation between 2030 and 2040,
fuel cell,investment,3372083.7845,EUR/MW_e,Linear interpolation between 2030 and 2040,
fuel cell,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
gas,CO2 intensity,0.199,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
gas,fuel,25.0,EUR/MWh_th,Linear interpolation between 2030 and 2040,
gas boiler steam,FOM,4.07,%/year,Linear interpolation between 2030 and 2040,
gas boiler steam,VOM,1.0,EUR/MWh,Linear interpolation between 2030 and 2040,
gas boiler steam,efficiency,0.93,per unit,Linear interpolation between 2030 and 2040,
gas boiler steam,investment,45.4545,EUR/kW,Linear interpolation between 2030 and 2040,
gas boiler steam,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
gas storage,FOM,3.5919,%/year,Linear interpolation between 2030 and 2040,
gas storage,investment,0.0329,EUR/kWh,Linear interpolation between 2030 and 2040,
gas storage,lifetime,100.0,years,Linear interpolation between 2030 and 2040,
gas storage charger,investment,14.3389,EUR/kW,Linear interpolation between 2030 and 2040,
gas storage discharger,investment,4.7796,EUR/kW,Linear interpolation between 2030 and 2040,
geothermal,CO2 intensity,0.12,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
geothermal,district heating cost,0.25,%,Linear interpolation between 2030 and 2040,
geothermal,efficiency electricity,0.1,per unit,Linear interpolation between 2030 and 2040,
geothermal,efficiency residential heat,0.8,per unit,Linear interpolation between 2030 and 2040,
geothermal,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
helmeth,FOM,3.0,%/year,Linear interpolation between 2030 and 2040,
helmeth,efficiency,0.8,per unit,Linear interpolation between 2030 and 2040,
helmeth,investment,2000000.0,EUR/MW,Linear interpolation between 2030 and 2040,
helmeth,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
home battery inverter,FOM,1.3104264318196797,%/year,Linear interpolation between 2030 and 2040,
home battery inverter,efficiency,0.96,per unit,Linear interpolation between 2030 and 2040,
home battery inverter,investment,154529.85,EUR/MW,Linear interpolation between 2030 and 2040,
home battery inverter,lifetime,12.5,years,Linear interpolation between 2030 and 2040,
home battery storage,investment,169533.85,EUR/MWh,Linear interpolation between 2030 and 2040,
home battery storage,lifetime,27.5,years,Linear interpolation between 2030 and 2040,
hydro,FOM,1.0,%/year,Linear interpolation between 2030 and 2040,
hydro,efficiency,0.9,per unit,Linear interpolation between 2030 and 2040,
hydro,investment,2437000.0,EUR/MWel,Linear interpolation between 2030 and 2040,
hydro,lifetime,80.0,years,Linear interpolation between 2030 and 2040,
hydrogen storage compressor,FOM,4.0,%/year,Linear interpolation between 2030 and 2040,
hydrogen storage compressor,compression-electricity-input,0.05,MWh_el/MWh_H2,Linear interpolation between 2030 and 2040,
hydrogen storage compressor,investment,79.4235,EUR/kW_H2,Linear interpolation between 2030 and 2040,
hydrogen storage compressor,lifetime,15.0,years,Linear interpolation between 2030 and 2040,
hydrogen storage tank type 1,FOM,2.0,%/year,Linear interpolation between 2030 and 2040,
hydrogen storage tank type 1,investment,12.2274,EUR/kWh_H2,Linear interpolation between 2030 and 2040,
hydrogen storage tank type 1,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
hydrogen storage tank type 1,min_fill_level,6.0,%,Linear interpolation between 2030 and 2040,
hydrogen storage tank type 1 including compressor,FOM,1.3896290509780378,%/year,Linear interpolation between 2030 and 2040,
hydrogen storage tank type 1 including compressor,investment,35.980199999999996,EUR/kWh,Linear interpolation between 2030 and 2040,
hydrogen storage tank type 1 including compressor,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
hydrogen storage underground,FOM,0.0,%/year,Linear interpolation between 2030 and 2040,
hydrogen storage underground,VOM,0.0,EUR/MWh,Linear interpolation between 2030 and 2040,
hydrogen storage underground,investment,1750.0,EUR/MWh,Linear interpolation between 2030 and 2040,
hydrogen storage underground,lifetime,40.0,years,Linear interpolation between 2030 and 2040,
industrial heat pump high temperature,FOM,0.09222910922587486,%/year,Linear interpolation between 2030 and 2040,
industrial heat pump high temperature,VOM,3.21,EUR/MWh,Linear interpolation between 2030 and 2040,
industrial heat pump high temperature,efficiency,3.0999999999999996,per unit,Linear interpolation between 2030 and 2040,
industrial heat pump high temperature,investment,905.28,EUR/kW,Linear interpolation between 2030 and 2040,
industrial heat pump high temperature,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
industrial heat pump medium temperature,FOM,0.11068396076352068,%/year,Linear interpolation between 2030 and 2040,
industrial heat pump medium temperature,VOM,3.21,EUR/MWh,Linear interpolation between 2030 and 2040,
industrial heat pump medium temperature,efficiency,2.75,per unit,Linear interpolation between 2030 and 2040,
industrial heat pump medium temperature,investment,754.4,EUR/kW,Linear interpolation between 2030 and 2040,
industrial heat pump medium temperature,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
iron ore DRI-ready,commodity,97.73,EUR/t,Linear interpolation between 2030 and 2040,
lignite,CO2 intensity,0.35,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
lignite,FOM,2.5,%/year,Linear interpolation between 2030 and 2040,
lignite,VOM,4.0,EUR/MWh_e,Linear interpolation between 2030 and 2040,
lignite,efficiency,0.42,per unit,Linear interpolation between 2030 and 2040,
lignite,fuel,6.48,EUR/MWh_th,Linear interpolation between 2030 and 2040,
lignite,investment,3845506.6,EUR/MW_e,Linear interpolation between 2030 and 2040,
lignite,lifetime,40.0,years,Linear interpolation between 2030 and 2040,
methanation,FOM,3.0,%/year,Linear interpolation between 2030 and 2040,
methanation,carbondioxide-input,0.198,t_CO2/MWh_CH4,Linear interpolation between 2030 and 2040,
methanation,efficiency,0.8,per unit,Linear interpolation between 2030 and 2040,
methanation,hydrogen-input,1.282,MWh_H2/MWh_CH4,Linear interpolation between 2030 and 2040,
methanation,investment,591599.4,EUR/MW_CH4,Linear interpolation between 2030 and 2040,
methanation,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
methane storage tank incl. compressor,FOM,1.8999999999999997,%/year,Linear interpolation between 2030 and 2040,
methane storage tank incl. compressor,investment,8629.2,EUR/m^3,Linear interpolation between 2030 and 2040,
methane storage tank incl. compressor,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
methanol,CO2 intensity,0.2482,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
methanol-to-kerosene,hydrogen-input,0.0279,MWh_H2/MWh_kerosene,Linear interpolation between 2030 and 2040,
methanol-to-kerosene,methanol-input,1.0764,MWh_MeOH/MWh_kerosene,Linear interpolation between 2030 and 2040,
methanol-to-olefins/aromatics,FOM,3.0,%/year,Linear interpolation between 2030 and 2040,
methanol-to-olefins/aromatics,VOM,30.0,€/t_HVC,Linear interpolation between 2030 and 2040,
methanol-to-olefins/aromatics,carbondioxide-output,0.6107,t_CO2/t_HVC,Linear interpolation between 2030 and 2040,
methanol-to-olefins/aromatics,electricity-input,1.3889,MWh_el/t_HVC,Linear interpolation between 2030 and 2040,
methanol-to-olefins/aromatics,investment,2628000.0,EUR/(t_HVC/h),Linear interpolation between 2030 and 2040,
methanol-to-olefins/aromatics,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
methanol-to-olefins/aromatics,methanol-input,18.03,MWh_MeOH/t_HVC,Linear interpolation between 2030 and 2040,
methanolisation,FOM,3.0,%/year,Linear interpolation between 2030 and 2040,
methanolisation,VOM,6.2687,EUR/MWh_MeOH,Linear interpolation between 2030 and 2040,
methanolisation,capture rate,0.9,per unit,Linear interpolation between 2030 and 2040,
methanolisation,carbondioxide-input,0.248,t_CO2/MWh_MeOH,Linear interpolation between 2030 and 2040,
methanolisation,electricity-input,0.271,MWh_e/MWh_MeOH,Linear interpolation between 2030 and 2040,
methanolisation,heat-output,0.1,MWh_th/MWh_MeOH,Linear interpolation between 2030 and 2040,
methanolisation,hydrogen-input,1.138,MWh_H2/MWh_MeOH,Linear interpolation between 2030 and 2040,
methanolisation,investment,608179.54635,EUR/MW_MeOH,Linear interpolation between 2030 and 2040,
methanolisation,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
micro CHP,FOM,6.176464705532115,%/year,Linear interpolation between 2030 and 2040,
micro CHP,efficiency,0.351,per unit,Linear interpolation between 2030 and 2040,
micro CHP,efficiency-heat,0.609,per unit,Linear interpolation between 2030 and 2040,
micro CHP,investment,6998592.55,EUR/MW_th,Linear interpolation between 2030 and 2040,
micro CHP,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
nuclear,FOM,2.0935536840143287,%/year,Linear interpolation between 2030 and 2040,
nuclear,VOM,11.0,EUR/MWh_e,Linear interpolation between 2030 and 2040,
nuclear,efficiency,0.33,per unit,Linear interpolation between 2030 and 2040,
nuclear,fuel,2.6100000000000003,EUR/MWh_th,Linear interpolation between 2030 and 2040,
nuclear,investment,6354831.070499999,EUR/MW_e,Linear interpolation between 2030 and 2040,
nuclear,lifetime,60.0,years,Linear interpolation between 2030 and 2040,
offwind,FOM,2.745147022685,%/year,Linear interpolation between 2030 and 2040,
offwind,VOM,0.0,EUR/MWhel,Linear interpolation between 2030 and 2040,
offwind,investment,1790362.7555,"EUR/MW_e, 2020",Linear interpolation between 2030 and 2040,
offwind,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
offwind-ac-connection-submarine,investment,2685.0,EUR/MW/km,Linear interpolation between 2030 and 2040,
offwind-ac-connection-underground,investment,1342.0,EUR/MW/km,Linear interpolation between 2030 and 2040,
offwind-ac-station,investment,250000.0,EUR/MWel,Linear interpolation between 2030 and 2040,
offwind-dc-connection-submarine,investment,2000.0,EUR/MW/km,Linear interpolation between 2030 and 2040,
offwind-dc-connection-underground,investment,1000.0,EUR/MW/km,Linear interpolation between 2030 and 2040,
offwind-dc-station,investment,400000.0,EUR/MWel,Linear interpolation between 2030 and 2040,
oil,CO2 intensity,0.2571,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
oil,FOM,10.256410254820512,%/year,Linear interpolation between 2030 and 2040,
oil,VOM,4.0,EUR/MWh,Linear interpolation between 2030 and 2040,
oil,efficiency,0.35,per unit,Linear interpolation between 2030 and 2040,
oil,fuel,50.0,EUR/MWhth,Linear interpolation between 2030 and 2040,
oil,investment,341250.0,EUR/MW,Linear interpolation between 2030 and 2040,
oil,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
onwind,FOM,2.356064036897719,%/year,Linear interpolation between 2030 and 2040,
onwind,VOM,0.0,EUR/MWh,Linear interpolation between 2030 and 2040,
onwind,investment,1191361.2835,EUR/MW,Linear interpolation between 2030 and 2040,
onwind,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
ror,FOM,2.0,%/year,Linear interpolation between 2030 and 2040,
ror,efficiency,0.9,per unit,Linear interpolation between 2030 and 2040,
ror,investment,3312.2424,EUR/kWel,Linear interpolation between 2030 and 2040,
ror,lifetime,80.0,years,Linear interpolation between 2030 and 2040,
seawater RO desalination,electricity-input,0.003,MWHh_el/t_H2O,Linear interpolation between 2030 and 2040,
seawater desalination,FOM,4.0,%/year,Linear interpolation between 2030 and 2040,
seawater desalination,electricity-input,3.0348,kWh/m^3-H2O,Linear interpolation between 2030 and 2040,
seawater desalination,investment,29589.7436,EUR/(m^3-H2O/h),Linear interpolation between 2030 and 2040,
seawater desalination,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
shipping fuel methanol,CO2 intensity,0.2482,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
shipping fuel methanol,fuel,72.0,EUR/MWh_th,Linear interpolation between 2030 and 2040,
solar,FOM,1.9905145525407613,%/year,Linear interpolation between 2030 and 2040,
solar,VOM,0.01,EUR/MWhel,Linear interpolation between 2030 and 2040,
solar,investment,449.99014999999997,EUR/kW_e,Linear interpolation between 2030 and 2040,
solar,lifetime,40.0,years,Linear interpolation between 2030 and 2040,
solar-rooftop,FOM,1.9762725384912911,%/year,Linear interpolation between 2030 and 2040,
solar-rooftop,discount rate,0.04,per unit,Linear interpolation between 2030 and 2040,
solar-rooftop,investment,786314.424,EUR/MW_e,Linear interpolation between 2030 and 2040,
solar-rooftop,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
solar-rooftop commercial,FOM,1.6466773267315868,%/year,Linear interpolation between 2030 and 2040,
solar-rooftop commercial,investment,464.78610000000003,EUR/kW_e,Linear interpolation between 2030 and 2040,
solar-rooftop commercial,lifetime,40.0,years,Linear interpolation between 2030 and 2040,
solar-rooftop residential,FOM,1.3188495761305485,%/year,Linear interpolation between 2030 and 2040,
solar-rooftop residential,investment,697.03655,EUR/kW_e,Linear interpolation between 2030 and 2040,
solar-rooftop residential,lifetime,40.0,years,Linear interpolation between 2030 and 2040,
solar-utility,FOM,2.0453102582711966,%/year,Linear interpolation between 2030 and 2040,
solar-utility,investment,607799.8352,EUR/MW_e,Linear interpolation between 2030 and 2040,
solar-utility,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
solar-utility single-axis tracking,FOM,2.360563025498009,%/year,Linear interpolation between 2030 and 2040,
solar-utility single-axis tracking,investment,379.85515,EUR/kW_e,Linear interpolation between 2030 and 2040,
solar-utility single-axis tracking,lifetime,40.0,years,Linear interpolation between 2030 and 2040,
solid biomass,CO2 intensity,0.3667,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
solid biomass,fuel,12.0,EUR/MWh_th,Linear interpolation between 2030 and 2040,
solid biomass boiler steam,FOM,6.123633072079013,%/year,Linear interpolation between 2030 and 2040,
solid biomass boiler steam,VOM,2.8365,EUR/MWh,Linear interpolation between 2030 and 2040,
solid biomass boiler steam,efficiency,0.89,per unit,Linear interpolation between 2030 and 2040,
solid biomass boiler steam,investment,577.27275,EUR/kW,Linear interpolation between 2030 and 2040,
solid biomass boiler steam,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
solid biomass boiler steam CC,FOM,6.123633072079013,%/year,Linear interpolation between 2030 and 2040,
solid biomass boiler steam CC,VOM,2.8365,EUR/MWh,Linear interpolation between 2030 and 2040,
solid biomass boiler steam CC,efficiency,0.89,per unit,Linear interpolation between 2030 and 2040,
solid biomass boiler steam CC,investment,577.27275,EUR/kW,Linear interpolation between 2030 and 2040,
solid biomass boiler steam CC,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
solid biomass to hydrogen,FOM,4.25,%/year,Linear interpolation between 2030 and 2040,
solid biomass to hydrogen,capture rate,0.9,per unit,Linear interpolation between 2030 and 2040,
solid biomass to hydrogen,efficiency,0.56,per unit,Linear interpolation between 2030 and 2040,
solid biomass to hydrogen,investment,3250.0,EUR/kW_th,Linear interpolation between 2030 and 2040,
uranium,fuel,2.6,EUR/MWh_th,Linear interpolation between 2030 and 2040,
waste CHP,FOM,2.34073924205071,%/year,Linear interpolation between 2030 and 2040,
waste CHP,VOM,26.2744,EUR/MWh_e,Linear interpolation between 2030 and 2040,
waste CHP,c_b,0.29469999999999996,50°C/100°C,Linear interpolation between 2030 and 2040,
waste CHP,c_v,1.0,50°C/100°C,Linear interpolation between 2030 and 2040,
waste CHP,efficiency,0.2102,per unit,Linear interpolation between 2030 and 2040,
waste CHP,efficiency-heat,0.76205,per unit,Linear interpolation between 2030 and 2040,
waste CHP,investment,7850.017250000001,EUR/kW_e,Linear interpolation between 2030 and 2040,
waste CHP,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
waste CHP CC,FOM,2.34073924205071,%/year,Linear interpolation between 2030 and 2040,
waste CHP CC,VOM,26.2744,EUR/MWh_e,Linear interpolation between 2030 and 2040,
waste CHP CC,c_b,0.29469999999999996,50°C/100°C,Linear interpolation between 2030 and 2040,
waste CHP CC,c_v,1.0,50°C/100°C,Linear interpolation between 2030 and 2040,
waste CHP CC,efficiency,0.2102,per unit,Linear interpolation between 2030 and 2040,
waste CHP CC,efficiency-heat,0.76205,per unit,Linear interpolation between 2030 and 2040,
waste CHP CC,investment,7850.017250000001,EUR/kW_e,Linear interpolation between 2030 and 2040,
waste CHP CC,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
water tank charger,efficiency,0.8367,per unit,Linear interpolation between 2030 and 2040,
water tank discharger,efficiency,0.8367,per unit,Linear interpolation between 2030 and 2040,
solar-utility,VOM,0.0,EUR/MWh,Linear interpolation between 2030 and 2040,
solar-rooftop,VOM,0.0,EUR/MWh,Linear interpolation between 2030 and 2040,
SMR CC,VOM,0.0,EUR/MWh,Linear interpolation between 2030 and 2040,
offwind-dc-station,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
offwind-dc-connection-underground,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
offwind-dc-connection-submarine,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
offwind-ac-station,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
offwind-ac-connection-underground,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
offwind-ac-connection-submarine,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
nuclear (SMR),efficiency,0.33,per unit,Linear interpolation between 2030 and 2040,
nuclear (SMR),FOM,1.336403754677212,%/year,Linear interpolation between 2030 and 2040,
nuclear (SMR),investment,7646478.3,EUR/MWh,Linear interpolation between 2030 and 2040,
nuclear (SMR),lifetime,60.0,years,Linear interpolation between 2030 and 2040,
nuclear (SMR),VOM,3.172423999,EUR/MWh/year,Linear interpolation between 2030 and 2040,
H2 (g) pipeline,VOM,1.1,EUR/MWh,Linear interpolation between 2030 and 2040,
fuel cell,VOM,1.178666667,EUR/MWh,Linear interpolation between 2030 and 2040,
electrolysis,VOM,0.0,EUR/MWh,Linear interpolation between 2030 and 2040,
CO2 submarine pipeline,lifetime,50.0,years,Linear interpolation between 2030 and 2040,
CH4 (g) pipeline,VOM,1.24,EUR/MWh,Linear interpolation between 2030 and 2040,
CCGT_H2,FOM,3.1631269740759147,%/year,Linear interpolation between 2030 and 2040,
CCGT_H2,VOM,1.2,EUR/MWh,Linear interpolation between 2030 and 2040,
CCGT_H2,efficiency,0.645,per unit,Linear interpolation between 2030 and 2040,
CCGT_H2,investment,1106500.0,EUR/MW,Linear interpolation between 2030 and 2040,
CCGT_H2,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
OCGT_H2,FOM,3.2107380238028176,%/year,Linear interpolation between 2030 and 2040,
OCGT_H2,VOM,2.9,EUR/MWh,Linear interpolation between 2030 and 2040,
OCGT_H2,efficiency,0.415,per unit,Linear interpolation between 2030 and 2040,
OCGT_H2,investment,887500.0,EUR/MW,Linear interpolation between 2030 and 2040,
OCGT_H2,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
CCGT_CC,FOM,2.8973889730022746,%/year,Linear interpolation between 2030 and 2040,
CCGT_CC,VOM,14.2,EUR/MWh,Linear interpolation between 2030 and 2040,
CCGT_CC,efficiency,0.581,per unit,Linear interpolation between 2030 and 2040,
CCGT_CC,investment,1967288.5,EUR/MW,Linear interpolation between 2030 and 2040,
CCGT_CC,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
OCGT_CC,FOM,3.6441818700000006,%/year,Linear interpolation between 2030 and 2040,
OCGT_CC,VOM,15.9,EUR/MWh,Linear interpolation between 2030 and 2040,
OCGT_CC,efficiency,0.374,per unit,Linear interpolation between 2030 and 2040,
OCGT_CC,investment,1385627.0,EUR/MW,Linear interpolation between 2030 and 2040,
OCGT_CC,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
electricity distribution grid,discount rate,0.03,p.u.,Linear interpolation between 2030 and 2040,
hydrogen,fuel,679.7,EUR/MWh,Linear interpolation between 2030 and 2040,
coal_cc,efficiency,0.297,per unit,Linear interpolation between 2030 and 2040,
gas distribution grid,FOM,2.0,%/year,Linear interpolation between 2030 and 2040,
gas distribution grid,investment,500.0,EUR/kW,Linear interpolation between 2030 and 2040,
